HG00119	HG00124	SecondOrder
HG00501	HG00524	Sibling
HG00581	HG00635	Sibling
HG00731	HG00733	Trio
HG00732	HG00733	Trio
HG01936	HG01983	SecondOrder
HG02024	HG02025	Trio
HG02024	HG02026	Trio
HG02046	HG02067	Sibling
HG02250	HG02377	SecondOrder
HG02353	HG02363	SecondOrder
HG02371	HG02372	Parent
HG02373	HG02381	Sibling
HG02375	HG02388	SecondOrder
HG02386	HG02387	SecondOrder
HG03673	HG03948	Parent
HG03713	HG03715	Parent
NA19027	NA19311	SecondOrder
NA19238	NA19240	Trio
NA19239	NA19240	Trio
NA19313	NA19331	Parent
NA19660	NA19664	SecondOrder
NA19661	NA19685	Parent
NA19675	NA19678	Trio
NA19675	NA19679	Trio
NA19713	NA19985	Sibling
NA20289	NA20341	Sibling
NA20321	NA20322	Sibling
NA20334	NA20336	Sibling
NA20334	NA20344	Sibling
NA20526	NA20792	Sibling
NA20868	NA20871	Parent
NA20886	NA20898	Parent
NA20893	NA20895	SecondOrder
